 ,Individual_Match No,Player,Team,Opp_Team,RH/LH,Match_Type,Ground,Role,Runs,Wickets,Dream11_ Points,Dismissal
9,M2,Jos Butler,RR,KXIP,RH,Chasing,Sharjah,WK,4,0,8,CAUGHT
9,M2,Steve Smith,RR,KXIP,RH,Chasing,Sharjah,BAT,50,0,73,CAUGHT
9,M2,Sanju Samson,RR,KXIP,RH,Chasing,Sharjah,WK,85,0,123,CAUGHT
9,M2,Robin Uthappa,RR,KXIP,RH,Chasing,Sharjah,BAT,9,0,15,CAUGHT
9,M2,Rahul Tewatia,RR,KXIP,LH,Chasing,Sharjah,ALL,53,0,79,CAUGHT
9,M2,Riyag Parag,RR,KXIP,RH,Chasing,Sharjah,ALL,0,0,2,BOLD
9,M2,Tom Curran,RR,KXIP,RH,Chasing,Sharjah,BALL,4,1,30,NO
9,M2,Jofra Archer,RR,KXIP,RH,Chasing,Sharjah,BALL,13,0,15,NO
9,M2,Shreyas Gopal,RR,KXIP,RH,Chasing,Sharjah,BALL,0,0,8,nb
9,M2,Jaydev Unadkat,RR,KXIP,LH,Chasing,Sharjah,BALL,0,0,2,nb
9,M2,Ankit Rajpoot,RR,KXIP,RH,Chasing,Sharjah,BALL,0,1,27,nb
9,M3,KL Rahul,KXIP,RR,RH,Defending,Sharjah,WK,69,0,98,CAUGHT
9,M3,Mayank Agarwal,KXIP,RR,RH,Defending,Sharjah,BAT,106,0,158,CAUGHT
9,M3,Nicolas Pooran,KXIP,RR,LH,Defending,Sharjah,WK,25,0,44,NO
9,M3,Glenn Maxwell,KXIP,RR,RH,Defending,Sharjah,ALL,13,0,17,NO
9,M3,Karun Nair,KXIP,RR,RH,Defending,Sharjah,BAT,0,0,4,nb
9,M3,Sarfaraz Khan,KXIP,RR,RH,Defending,Sharjah,BAT,0,0,12,nb
9,M3,James Neesham,KXIP,RR,LH,Defending,Sharjah,ALL,0,1,27,nb
9,M3,Murugan Ashwin,KXIP,RR,RH,Defending,Sharjah,BALL,0,1,29,nb
9,M3,Mohammed Shami,KXIP,RR,RH,Defending,Sharjah,BALL,0,3,81,nb
9,M3,Sheldon Cottrell,KXIP,RR,LH,Defending,Sharjah,BALL,0,1,23,nb
9,M3,Ravi Bishnoi,KXIP,RR,RH,Defending,Sharjah,BALL,0,0,4,nb
10,M3,Devdutt Padikkal,RCB,MI,LH,Defending,Dubai,BAT,54,0,83,CAUGHT
10,M3,Aaron Finch,RCB,MI,RH,Defending,Dubai,BAT,52,0,73,CAUGHT
10,M3,Virat Kohli,RCB,MI,RH,Defending,Dubai,BAT,3,0,1,CAUGHT
10,M3,AB de Villiers,RCB,MI,RH,Defending,Dubai,WK,55,0,87,NO
10,M3,Shivam Dube,RCB,MI,LH,Defending,Dubai,ALL,27,0,38,NO
10,M3,W Sundar,RCB,MI,LH,Defending,Dubai,ALL,0,1,35,nb
10,M3,Isuru Udana,RCB,MI,LH,Defending,Dubai,BALL,0,2,48,nb
10,M3,Gurkeerat Singh,RCB,MI,RH,Defending,Dubai,ALL,0,0,4,nb
10,M3,Navdeep Saini,RCB,MI,RH,Defending,Dubai,BALL,0,0,0,nb
10,M3,Adam Zampa,RCB,MI,RH,Defending,Dubai,BALL,0,1,23,nb
10,M3,Y Chahal,RCB,MI,RH,Defending,Dubai,BALL,0,1,23,nb
10,M3,Rohit Sharma,MI,RCB,RH,Chasing,Dubai,BAT,8,0,22,CAUGHT
10,M3,De Kock,MI,RCB,LH,Chasing,Dubai,WK,14,0,19,CAUGHT
10,M3,S.Yadav,MI,RCB,RH,Chasing,Dubai,BAT,0,0,2,CAUGHT
10,M3,Ishan Kishan,MI,RCB,LH,Chasing,Dubai,WK,99,0,131,CAUGHT
10,M3,Hardik Pandya,MI,RCB,RH,Chasing,Dubai,ALL,15,0,21,CAUGHT
10,M3,Kieron Pollard,MI,RCB,RH,Chasing,Dubai,ALL,60,0,101,NO
10,M3,Krunal Pandya,MI,RCB,LH,Chasing,Dubai,ALL,0,0,4,NO
10,M3,Pattinson,MI,RCB,RH,Chasing,Dubai,BALL,0,0,-2,nb
10,M3,Rahul Chahar,MI,RCB,RH,Chasing,Dubai,BALL,0,1,29,nb
10,M3,Boult,MI,RCB,LH,Chasing,Dubai,BALL,0,2,54,nb
10,M3,Bumrah,MI,RCB,RH,Chasing,Dubai,BALL,0,0,0,nb
11,M3,Warner,SRH,DC,LH,Defending,Sheikh Zayed,BAT,45,0,56,CAUGHT
11,M3,Bairstow,SRH,DC,RH,Defending,Sheikh Zayed,WK,53,0,85,CAUGHT
11,M3,Manish Pandey,SRH,DC,RH,Defending,Sheikh Zayed,BAT,3,0,15,CAUGHT
11,M3,Kane Williamson,SRH,DC,RH,Defending,Sheikh Zayed,BAT,41,0,50,CAUGHT
11,M3,Abdul Samad,SRH,DC,RH,Defending,Sheikh Zayed,BAT,12,0,27,NO
11,M3,Abhishek Sharma,SRH,DC,LH,Defending,Sheikh Zayed,ALL,1,0,5,NO
11,M3,Priyam Garg,SRH,DC,RH,Defending,Sheikh Zayed,BAT,0,0,12, 
11,M3,Rashid Khan,SRH,DC,RH,Defending,Sheikh Zayed,BALL,0,3,85,nb
11,M3,Bhuvaneshwar Kumar,SRH,DC,RH,Defending,Sheikh Zayed,BALL,0,2,54,nb
11,M3,Natarajan,SRH,DC,LH,Defending,Sheikh Zayed,BALL,0,1,29,nb
11,M3,Khaleel Ahmed,SRH,DC,LH,Defending,Sheikh Zayed,BALL,0,1,25,nb
11,M3,P.Shaw,DC,SRH,RH,Chasing,Sheikh Zayed,BAT,2,0,6,CAUGHT
11,M3,Shikhar Dhawan,DC,SRH,LH,Chasing,Sheikh Zayed,BAT,34,0,42,CAUGHT
11,M3,Hetmeyer,DC,SRH,LH,Chasing,Sheikh Zayed,BAT,21,0,29,CAUGHT
11,M3,Shreyas Iyer,DC,SRH,RH,Chasing,Sheikh Zayed,BAT,17,0,23,CAUGHT
11,M3,Rishabh Pant,DC,SRH,LH,Chasing,Sheikh Zayed,WK,28,0,45,CAUGHT
11,M3,Marcus Stoinis,DC,SRH,RH,Chasing,Sheikh Zayed,ALL,11,0,16,LBW
11,M3,Axar Patel,DC,SRH,LH,Chasing,Sheikh Zayed,ALL,5,0,17,BOLD
11,M3,Amit Mishra,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,0,2,54,nb
11,M3,Rabada,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,15,2,82,NO
11,M3,Nortje,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,3,0,13,NO
11,M3,Ishant Sharma,DC,SRH,RH,Chasing,Sheikh Zayed,BALL,0,0,4,nb
12,M3,Jos Butler,RR,KKR,RH,Chasing,Dubai,WK,21,0,38,CAUGHT
12,M3,Steve Smith,RR,KKR,RH,Chasing,Dubai,BAT,3,0,7,CAUGHT
12,M3,Sanju Samson,RR,KKR,RH,Chasing,Dubai,WK,8,0,21,CAUGHT
12,M3,Robin Uthappa,RR,KKR,RH,Chasing,Dubai,BAT,2,0,6,CAUGHT
12,M3,Rahul Tewatia,RR,KKR,LH,Chasing,Dubai,ALL,14,1,45,BOLD
12,M3,Riyag Parag,RR,KKR,RH,Chasing,Dubai,ALL,1,0,13,CAUGHT
12,M3,Tom Curran,RR,KKR,RH,Chasing,Dubai,BALL,54,1,97,NO
12,M3,Jofra Archer,RR,KKR,RH,Chasing,Dubai,BALL,6,2,74,CAUGHT
12,M3,Shreyas Gopal,RR,KKR,RH,Chasing,Dubai,BALL,5,0,5,CAUGHT
12,M3,Jaydev Unadkat,RR,KKR,LH,Chasing,Dubai,BALL,9,1,46,CAUGHT
12,M3,Ankit Rajpoot,RR,KKR,RH,Chasing,Dubai,BALL,7,1,36,NO
12,M3,Sunil Narine,KKR,RR,LH,Defending,Dubai,ALL,15,1,54,BOLD
12,M3,Shubman Gill,KKR,RR,RH,Defending,Dubai,BAT,47,0,66,CAUGHT
12,M3,Nitish Rana,KKR,RR,LH,Defending,Dubai,ALL,22,0,30,CAUGHT
12,M3,Eoin Morgan,KKR,RR,LH,Defending,Dubai,BAT,34,0,43,NO
12,M3,Dinesh Karthik,KKR,RR,RH,Defending,Dubai,WK,1,0,21,CAUGHT
12,M3,Andre Russell,KKR,RR,RH,Defending,Dubai,ALL,24,0,34,CAUGHT
12,M3,Kamlesh Nagarkoti,KKR,RR,RH,Defending,Dubai,BALL,8,2,79,NO
12,M3,Pat Cummins,KKR,RR,RH,Defending,Dubai,BALL,12,1,46,CAUGHT
12,M3,Kuldeep Yadav,KKR,RR,LH,Defending,Dubai,BALL,0,1,29,nb
12,M3,Varun Chakravarthy,KKR,RR,RH,Defending,Dubai,BALL,0,2,62,nb
12,M3,Shivam Mavi,KKR,RR,RH,Defending,Dubai,BALL,0,2,64,nb
13,M4,Rohit Sharma,MI,KXIP,RH,Defending,Sheikh Zayed,BAT,70,0,96,CAUGHT
13,M4,De Kock,MI,KXIP,LH,Defending,Sheikh Zayed,WK,0,0,10,BOLD
13,M4,S.Yadav,MI,KXIP,RH,Defending,Sheikh Zayed,BAT,10,0,32,RUNOUT
